API_UWI,Unformatted_API_UWI,API_UWI_12,Unformatted_API_UWI_12,API_UWI_14,Unformatted_API_UWI_14,WellID,CompletionID,WellPadID,WellPadDirection,ENVWellGrouping,CompletionNumber,WellName,Country,StateProvince,County,Lease,LeaseName,ENVOperator,RawOperator,InitialOperator,ENVTicker,ENV_Peer_Group,ENVCompanyType,ENV_Stock_Exchange,ENVWellServiceProvider,ENVProdWellType,StateWellType,ENVWellType,ENVProducingMethod,ENVRegion,ENVBasin,ENVPlay,ENVSubPlay,ENVInterval,ENVIntervalSource,ENVWellStatus,ENVWellboreStatus,OnConfidential,OffConfidentialDate,Trajectory,ENVWellboreType,Formation,FirstProdDate,Latitude,Longitude,Latitude_BH,Longitude_BH,TVD_FT,MD_FT,District,Field,Survey,Block,Abstract,Platform,Section,Township,Range,Section_Township_Range,Unit_Name,WellNumber,SurfaceLatitudeLongitudeSource,PlugDate,PlugbackMeasuredDepth_FT,PlugbackTrueVerticalDepth_FT,AvgBreakdownPressure_PSI,AvgClusterSpacingPerStage_FT,AvgClusterSpacing_FT,AvgFracGradient_PSIPerFT,AvgISIP_PSI,AvgMillTime_Min,AvgPortSleeveOpeningPressure_PSI,AvgShotsPerCluster,AvgShotsPerFt,AvgTreatmentPressure_PSI,AvgTreatmentRate_BBLPerMin,"ClustersPer1,000Ft",ClustersPerStage,"ShotsPer1,000Ft",ShotsPerStage,TotalShots,AvgFluidPerCluster_BBL,AvgFluidPerShot_BBL,AvgFluidPerStage_BBL,FracRigOnsiteDate,FracRigReleaseDate,AvgProppantPerCluster_LBS,AvgProppantPerShot_LBS,AvgProppantPerStage_LBS,StimulatedStages,TotalClusters,Vintage,FirstProdQuarter,FirstProdMonth,ENVElevationKB_FT,ENVElevationKBSource,ENVElevationGL_FT,ENVElevationGLSource,ElevationKB_FT,ElevationGL_FT,CoordinateSource,PermitApprovedDate,PermitSubmittedDate,SpudDate,DrillingEndDate,RigReleaseDate,CompletionDate,FirstRigDay,ENVCompInsertedDate,StateFileNumber,ENVFracJobType,ENVFluidType,CompletionTime_DAYS,CompletionDesign,PermitToSpud_DAYS,SpudToRigRelease_DAYS,SpudToCompletion_DAYS,SpudToSales_DAYS,SoakTime_DAYS,NumberOfStrings,UpperPerf_FT,LowerPerf_FT,PerfInterval_FT,LateralLength_FT,FracStages,AverageStageSpacing_FT,ENVProppantBrand,ProppantLoading_LBSPerGAL,ENVProppantType,ProppantIntensity_LBSPerFT,Proppant_LBS,TotalWaterPumped_GAL,WaterIntensity_GALPerFT,TotalFluidPumped_BBL,FluidIntensity_BBLPerFT,AcidVolume_BBL,Bottom_Hole_Temp_DEGF,Biocide_LBS,Breaker_LBS,Buffer_LBS,ClayControl_LBS,CrossLinker_LBS,FrictionReducer_LBS,GellingAgent_LBS,IronControl_LBS,ScaleInhibitor_LBS,Surfactant_LBS,Energizer_LBS,Diverter_LBS,TestDate,ChokeSize_64IN,TestRate_BOEPerDAY,TestRate_BOEPerDAYPer1000FT,TestRate_MCFEPerDAY,OilTestRate_BBLPerDAY,OilTestRate_BBLPerDAYPer1000FT,GasTestRate_MCFPerDAY,GasTestRate_MCFPerDAYPer1000FT,WaterTestRate_BBLPerDAY,WaterTestRate_BBLPerDAYPer1000Ft,WaterDepth,TestWHLiquids_PCT,CasingPressure_PSI,FlowingTubingPressure_PSI,ShutInPressure_PSI,OilProdPriorTest_BBL,OilTestMethodName,OilGravity_API,GasGravity_SG,First3MonthProd_BOE,First3MonthProd_BOEPer1000FT,First3MonthGas_MCF,First3MonthGas_MCFPer1000FT,First3MonthProd_MCFE,First3MonthProd_MCFEPer1000FT,First3MonthOil_BBL,First3MonthOil_BBLPer1000FT,First3MonthWater_BBL,First6MonthProd_BOE,First6MonthProd_BOEPer1000FT,First6MonthGas_MCF,First6MonthGas_MCFPer1000FT,First6MonthProd_MCFE,First6MonthProd_MCFEPer1000FT,First6MonthOil_BBL,First6MonthOil_BBLPer1000FT,First6MonthWater_BBL,First9MonthProd_BOE,First9MonthProd_BOEPer1000FT,First9MonthGas_MCF,First9MonthGas_MCFPer1000FT,First9MonthProd_MCFE,First9MonthProd_MCFEPer1000FT,First9MonthOil_BBL,First9MonthOil_BBLPer1000FT,First9MonthWater_BBL,First12MonthProd_BOE,First12MonthProd_BOEPer1000FT,First12MonthGas_MCF,First12MonthGas_MCFPer1000FT,First12MonthProd_MCFE,First12MonthProd_MCFEPer1000FT,First12MonthOil_BBL,First12MonthOil_BBLPer1000FT,First12MonthWater_BBL,First36MonthProd_BOE,First36MonthProd_BOEPer1000FT,First36MonthGas_MCF,First36MonthGas_MCFPer1000FT,First36MonthProd_MCFE,First36MonthProd_MCFEPer1000FT,First36MonthOil_BBL,First36MonthOil_BBLPer1000FT,First36MonthWater_BBL,First36MonthWaterProductionBBLPer1000Ft,PeakProductionDate,MonthsToPeakProduction,PeakProd_BOE,PeakProd_BOEPer1000FT,PeakGas_MCF,PeakGas_MCFPer1000FT,PeakProd_MCFE,PeakProd_MCFEPer1000FT,PeakOil_BBL,PeakOil_BBLPer1000FT,PeakWater_BBL,CumProd_BOE,CumProd_BOEPer1000FT,CumGas_MCF,CumGas_MCFPer1000FT,CumProd_MCFE,CumProd_MCFEPer1000FT,CumOil_BBL,CumOil_BBLPer1000FT,CumWater_BBL,TotalProducingMonths,LastProducingMonth,LastMonthLiquidsProduction_BBL,LastMonthGasProduction_MCF,LastMonthWaterProduction_BBL,Last12MonthBOEProduction,Last12MonthGasProduction_MCF,Last12MonthOilProduction_BBL,Last12MonthWaterProduction_BBL,WHLiquids_PCT,GOR_ScfPerBbl,CumulativeSOR,Last3MonthISOR,TopOfZone_FT,BottomOfZone_FT,SubseaTopDepth_FT,SubseaBaseDepth_FT,Isopach_FT,GammaRay_API,BulkDensity_GPerCC,Resistivity_OHMSM,DensityPorosity_PCT,EffectivePorosity_PCT,ClayVolume_PCT,NonClayVolume_PCT,WaterSaturation_PCT,PhiH_FT,HCPV_PCT,HeightOfHCPV_FT,TotalOrganicCarbon_WTPCT,InjectorWellClass,SpudDateSource,TestRate_MCFEPerDAYPer1000FT,FirstProdYear
42-389-00657,4238900657,42-389-00657-00,423890065700,42-389-00657-00-00,42389006570000,840420005523145,840421001441065,42-389-00657,,,,"HALL, ELIZAH 1",US,TX,REEVES,,"HALL, ELIZAH",SALT DOME,SALT DOME,SALT DOME,OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,,,,,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,P & A,P & A,,,UNDETERMINED,SINGLE BORE,,,31.202912,-103.205004,31.202718,-103.205110,,,08,,"PSL/HALL, C M",C1,4587,,21,,,,,1,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2727,ACTUAL,2715,ACTUAL,2727,2715,,,,1956-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,
42-371-39359,4237139359,42-371-39359-00,423713935900,42-371-39359-00-00,42371393590000,840420000642883,840421002113742,42-371-39359,S,,1,BALBO WEST UNIT 1H,US,TX,PECOS,289435,BALBO WEST UNIT,BATTALION OIL,HALCON OPERATING CO.  INC.,SAMSON EXPL,BATL,MICRO CAP,PUBLIC,NYSEAMERICAN,KLX ENERGY SERVICES,LIQUIDS RICH GAS (10-40% WH LIQUIDS),OIL & GAS,OIL & GAS,PUMPING,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP A LOWER,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,SINGLE BORE,WOLFCAMP,2016-02-01,31.085110,-103.269535,31.055226,-103.269521,10470,20995,08,PHANTOM,T&P RR CO,49,8537,,42,8S,,,BALBO WEST UNIT,1H,REPORTED,,20923,10326,,,,,,,,,,,,,,,,,,,891004,,,,,21817316,,,2016,2016-Q1,2016 / 02,2847,ACTUAL,2824,ACTUAL,2847,2824,ACTUAL,2015-09-10,2015-09-02,2015-09-29,2015-11-02,2015-11-02,2016-02-02,2015-09-23,2016-01-19,,SLICKWATER HC,FRESH WATER,18,,19,34,126,140,4,3,10765,20896,10131,10266,,,,0.58,SAND ONLY,2154,21817316,37422168,3694,891004,88,,310.6,,,,,,,,53329,0,,,,2016-02-06,34,940,93,5637,550,54,2337,231,3516,347,,59,2050,2050,,,PUMPING,44.00,,34009,3357,77584,7658,204052,20141,21078,2081,332345,73968,7301,171286,16907,443806,43807,45420,4483,724687,128860,12719,307286,30331,773162,76316,77646,7664,1285316,173171,17093,427209,42168,1039023,102559,101969,10065,1793123,376943,37207,1094232,108008,2261658,223241,194571,19206,4199325,414503,2016-07-01,6,23039,2274,54699,5399,138231,13644,13922,1374,190599,778934,76886,3035362,299611,4673602,461317,273040,26951,7144228,104,2024-09-01,1210,31592,48967,77301,389318,12415,500911,35,11117,,,10380,10580,-7524,-7725,205,83.75,2.52,51.27,0.115,0.083,0.22,0.69,0.44,17.01,0.042,8.7,3.09,,Reported,556,2016
42-389-39088,4238939088,42-389-39088-00,423893908800,42-389-39088-00-00,42389390880000,840420005440332,840421006808326,42-389-39085,N,,1,ALTURA 10-3 UNIT 2WA,US,TX,REEVES,56791,ALTURA 10-3 UNIT,DIAMONDBACK,DIAMONDBACK E&P LLC,DIAMONDBACK E&P,FANG,LARGE CAP,PUBLIC,NASDAQ,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL,OIL,PUMPING,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP A LOWER,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,SINGLE BORE,WOLFCAMP,2022-03-01,31.158021,-103.216056,31.186416,-103.217002,10698,21451,08,HOEFS T-K,T&P RR CO,49,1831,,10,8S,,,ALTURA 10-3 UNIT,2WA,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2022-Q1,2022 / 03,2733,ACTUAL,2720,ACTUAL,2733,2720,ACTUAL,2020-06-01,2020-05-28,2021-11-08,2022-01-28,2022-01-28,2022-03-23,2022-01-14,2022-03-31,,SLICKWATER HC,FRESH WATER,20,,525,81,135,128,11,3,11004,21301,10297,10563,,,,0.80,SAND ONLY,2320,23888911,29693076,2884,706978,69,1600,,,,,,,31979,219,4031,,331,,,2022-04-03,40,1964,191,11784,1696,165,1608,156,7474,726,,86,1696,,,10281,PUMPING,36.00,,74698,7254,68786,6680,448190,43526,63234,6141,218126,136170,13224,137584,13362,817020,79345,113239,10997,383387,177287,17217,199174,19343,1063723,103304,144092,13994,481873,207608,20162,251360,24411,1245650,120972,165715,16094,548706,,,,,,,,,,,2022-04-01,2,36959,3589,31971,3105,221754,21536,31631,3072,111095,326209,31680,434830,42229,1957256,190080,253738,24642,790326,32,2024-10-01,4509,8563,11024,64147,97227,47942,124665,78,1714,,,10553,10704,-7805,-7954,154,83.89,2.54,95.77,0.102,0.076,0.24,0.68,0.24,11.77,0.055,8.4,3.14,,Reported,1144,2022
42-371-10386,4237110386,42-371-10386-00,423711038600,42-371-10386-00-00,42371103860000,840420019916023,840421007877155,,,,,"GOREE, E. T. 1",US,TX,PECOS,,"GOREE, E. T.",OVINTIV,"BROWN, TOM",BROWN TOM INC,OVV,LARGE CAP,PUBLIC,NYSE,,,,,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,UNREPORTED,UNREPORTED,,,UNDETERMINED,SINGLE BORE,,,31.188593,-103.166872,,,,,,,,,,,,,,,,1,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2690,ACTUAL,2674,ACTUAL,2690,2674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-389-33212,4238933212,42-389-33212-00,423893321200,42-389-33212-00-00,42389332120000,840420000645355,840421002915551,42-389-33212,,,1,PECOS SOUTHEAST SWD 1,US,TX,REEVES,,PECOS SOUTHEAST SWD,"SELECT WATER SOLUTIONS, LLC",SELECT WATER SOLUTIONS  LLC,PT DISPOSAL,OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,,,SWD,SWD,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,INJECTING,INJECTING,,,VERTICAL,SINGLE BORE,CHERRY CANYON,,31.218029,-103.331001,31.218029,-103.331001,6866,6866,08,TORO,T&P RR CO,50,703,,33,7S,,,,1,REPORTED,,6840,6840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2787,ACTUAL,2776,ACTUAL,2787,2776,,2012-02-22,2012-02-09,2012-10-31,2012-12-02,2012-12-02,2013-04-08,,2019-05-25,,,,,,252,32,159,,,2,6104,6744,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II,Reported,,
42-371-39037,4237139037,42-371-39037-00,423713903700,42-371-39037-00-00,42371390370000,840420000749197,840421002334747,42-371-39037,W,,1,ALEXANDRA 11H,US,TX,PECOS,43218,ALEXANDRA,BATTALION OIL,HALCON OPERATING CO.  INC.,EXL PETR,BATL,MICRO CAP,PUBLIC,NYSEAMERICAN,CUDD,OIL (40%+ WH LIQUIDS),OIL,OIL,FLOWING,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP A LOWER,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,SINGLE BORE,TREND AREA,2013-07-01,31.088405,-103.221052,31.088193,-103.234659,10436,14479,08,WOLFBONE,T&P RR CO,49,5690,,40,8S,,,ALEXANDRA,11H,REPORTED,,12785,10410,,,,,,,,,,,,,,,,,,,8884,,,,,298837,,,2013,2013-Q3,2013 / 07,2820,ACTUAL,2802,ACTUAL,2820,2802,ACTUAL,2013-02-28,2013-02-19,2013-03-15,2013-06-18,2013-06-18,2013-07-21,,2016-01-03,,CROSSLINK HC,FRESH WATER,6,,15,95,128,123,13,3,10150,12780,2630,3786,9,421,SUPER LC/OPTIPROP,0.71,SAND + RESIN,909,2390700,3358701,1277,79969,30,1572,,8991,2896,23704,48819,34286,52190,158986,3343,8336,,,,2013-08-03,26,455,173,2731,405,154,301,114,1461,556,,89,110,700,,2733,FLOWING,44.00,,15578,5923,12274,4667,93466,35538,13532,5145,382987,25367,9645,24906,9470,152202,57871,21216,8067,596550,29983,11401,28940,11004,179900,68403,25160,9567,688646,34400,13080,34296,13040,206400,78479,28684,10906,757905,60230,22901,64206,24413,361380,137407,49529,18832,787667,299493,2013-08-01,2,8293,3153,6267,2383,49755,18918,7248,2756,189854,130578,49650,184592,70187,783470,297897,99813,37952,787667,135,2024-09-01,212,1500,0,6399,18035,3393,0,76,1849,,,10398,10633,-7593,-7828,237,82.44,2.52,58.14,0.118,0.084,0.24,0.67,0.32,19.84,0.058,13.6,3.41,,Reported,1038,2013
42-389-39017,4238939017,42-389-39017-00,423893901700,42-389-39017-00-00,42389390170000,840420005435204,840421006784161,,,,,BABOON 5 62H,US,TX,REEVES,,BABOON 5,VITOL,"PRI OPERATING, LLC","PRI OPERATING, LLC",VITOL*,NON-PE-BACKED PRIVATE,PRIVATE,,,,OIL & GAS,OIL & GAS,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP B LOWER,ENV INTERPRETED,PERMIT EXPIRED,PERMIT EXPIRED,,,HORIZONTAL,SINGLE BORE,BONE SPRING,,31.187600,-103.243687,31.171704,-103.243373,11000,,08,SANDBAR,PSL,C1,1224,,26,,,,,62H,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756,ACTUAL,2736,ACTUAL,2756,2736,,2020-03-09,2020-03-05,,,,,,,,,,,,,,,,,,,,,5550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10848,11168,-8095,-8413,318,92.09,2.54,28.81,0.101,0.081,0.20,0.64,0.67,25.89,0.039,12.5,2.49,,,,
42-389-36736,4238936736,42-389-36736-00,423893673600,42-389-36736-00-00,42389367360000,840420004729159,840421006232321,42-389-36924,S,,1,MARLIN 11S 14H,US,TX,REEVES,52364,MARLIN 11S,VTX ENERGY OPERATING LLC,VTX ENERGY OPERATING  LLC,"PRI OPERATING, LLC",OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,LIBERTY OILFIELD SERVICES,OIL (40%+ WH LIQUIDS),OIL,OIL,PUMPING,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP A UPPER,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,SINGLE BORE,TREND AREA,2019-06-01,31.245425,-103.140822,31.215661,-103.140792,10464,21182,08,WOLFBONE,PSL,C2,4549,,02,,,,MARLIN 11S,14H,REPORTED,,,,,,,,,,,,,,,,,,,,,,540059,,,,,22076285,,,2019,2019-Q2,2019 / 06,2636,ACTUAL,2611,ACTUAL,2636,2611,ACTUAL,2018-01-23,2018-01-11,2018-07-28,2019-04-08,2018-10-28,2019-06-17,2018-10-18,2019-08-14,,SLICKWATER HC,UNKNOWN,35,,186,92,324,323,39,3,10931,21182,10251,10345,,,,0.97,SAND + RESIN,2154,22076285,22682478,2213,540059,53,,,0,0,,,,0,,,,,,,2019-07-26,48,1236,121,7413,1061,104,1047,102,5531,540,,86,930,,,24087,PUMPING,41.00,,61333,5983,52372,5109,368001,35899,52605,5132,261743,111701,10897,104572,10201,670206,65380,94272,9196,456046,152385,14865,158992,15510,914311,89192,125887,12280,600739,184142,17963,202648,19769,1104850,107780,150367,14669,710645,327720,31970,498585,48638,1966321,191817,244623,23863,1104387,107735,2019-07-01,2,35820,3494,31272,3051,214919,20966,30608,2986,157797,403869,39398,679652,66301,2423213,236388,290593,28348,1266958,63,2024-08-01,1261,3087,4059,27430,61709,17145,57370,72,2339,,,10408,10550,-7760,-7900,144,95.06,2.49,118.25,0.128,0.095,0.26,0.64,0.42,13.64,0.072,10.3,3.61,,Reported,723,2019
42-389-39830,4238939830,42-389-39830-00,423893983000,42-389-39830-00-00,42389398300000,840420019359925,840421007083153,42-389-39830,E,,1,WATCHMAN 30-26 C 3SB,US,TX,REEVES,58520,WATCHMAN 30-26 C,DIAMONDBACK,DIAMONDBACK E&P LLC,DIAMONDBACK E&P,FANG,LARGE CAP,PUBLIC,NASDAQ,HALLIBURTON,OIL (40%+ WH LIQUIDS),OIL,OIL,PUMPING,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,2ND BONE SPRING,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,SINGLE BORE,WOLFCAMP,2023-05-01,31.189955,-103.185059,31.191580,-103.135713,9380,25001,08,HOEFS T-K,PSL,C1,1267,,30,,,,WATCHMAN 30-26 C,3SB,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,2023-Q2,2023 / 05,2703,ACTUAL,2676,ACTUAL,2703,2676,ACTUAL,2022-02-23,2022-02-16,2022-06-23,2022-11-07,2022-11-07,2023-05-21,2022-10-28,2023-07-15,,SLICKWATER,UNKNOWN,33,,120,137,332,327,12,3,9630,24902,15272,15363,,,100 MESH PERMIAN,0.89,SAND ONLY,2488,37993797,42802692,2803,1019112,67,134,,,,,,,0,,3797,812,0,,,2023-06-02,70,1213,79,7279,1109,73,625,41,8805,577,,91,995,,,10023,PUMPING,40.00,,66826,4376,39399,2580,400953,26254,60259,3946,475812,102389,6704,64622,4231,614336,40226,91619,5999,842643,146195,9573,93930,6150,877170,57436,130540,8548,1334893,169459,11096,112803,7386,1016751,66576,150658,9865,1610877,,,,,,,,,,,2023-06-01,2,34197,2239,19711,1291,205183,13435,30912,2024,190783,216572,14181,144768,9479,1299432,85086,192444,12601,2261513,18,2024-10-01,7745,9355,128820,114183,80146,100825,1418870,89,752,,,9195,9475,-6488,-6757,266,82.38,2.53,194.21,0.109,0.084,0.22,0.70,0.30,22.48,0.062,16.7,3.19,,Reported,477,2023
42-371-40447,4237140447,42-371-40447-00,423714044700,42-371-40447-00-00,42371404470000,840420019806771,840421007765583,42-371-39650,W,,1,ROOSTERFISH UNIT 22SW222 222H,US,TX,PECOS,61149,ROOSTERFISH UNIT 22SW222,VTX ENERGY OPERATING LLC,VTX ENERGY OPERATING  LLC,"PRI OPERATING, LLC",OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,CUDD,OIL (40%+ WH LIQUIDS),OIL,OIL,FLOWING,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP B LOWER,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,SINGLE BORE,TREND AREA,2024-02-01,31.211962,-103.125680,31.207750,-103.152356,10817,19055,08,WOLFBONE,PSL,C2,5066,,22,,,,,222H,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,2024-Q1,2024 / 02,2693,ACTUAL,2668,ACTUAL,2693,2668,ACTUAL,2023-03-30,2023-03-23,2023-04-10,2023-05-03,2023-05-03,2023-10-12,2023-04-11,2023-10-11,,SLICKWATER HC,FRESH WATER,19,,11,23,185,312,112,3,11347,18978,7631,7854,,,GARNET/PEARL/CHROME RCS,0.72,SAND ONLY,2407,18365315,25556370,3349,608485,80,38,,,696,,,,91515,2798,,79538,396746,,,2024-03-04,64,1026,134,6153,754,99,1629,213,3664,480,,74,214,1023,,43001,FLOWING,41.00,,25452,3335,29537,3871,152711,20012,20529,2690,272203,44648,5851,50932,6674,267886,35105,36159,4738,502011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-01,2,11231,1472,14936,1957,67388,8831,8742,1146,117419,50381,6602,55184,7232,302288,39613,41184,5397,580555,7,2024-08-01,5025,4252,78544,50381,55184,41184,580555,82,1340,,,10855,11161,-8153,-8459,306,93.04,2.55,10.11,0.094,0.061,0.33,0.63,0.74,18.78,0.016,4.9,2.70,,Reported,806,2024
42-371-39075,4237139075,42-371-39075-00,423713907500,42-371-39075-00-00,42371390750000,840420000618663,840421001430290,,,,,ADRIANNA 4206,US,TX,PECOS,,ADRIANNA,"EXL PETROLEUM, LP","EXL PETROLEUM, LP",EXL PETR,OTHER,PE-BACKED,PRIVATE,,,,OIL,OIL,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,PERMIT EXPIRED,PERMIT EXPIRED,,,VERTICAL,SINGLE BORE,TREND AREA,,31.093207,-103.264762,31.093207,-103.264762,13500,,08,WOLFBONE,T&P RR CO,49,8537,,42,8S,,,,4206,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2831,ACTUAL,2818,ACTUAL,2831,2818,,2013-05-10,2013-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-389-35128,4238935128,42-389-35128-00,423893512800,42-389-35128-00-00,42389351280000,840420003229833,840421003487208,42-389-35128,,,1,HYENA 15 1SW,US,TX,REEVES,,HYENA 15,VTX ENERGY OPERATING LLC,VTX ENERGY OPERATING  LLC,PATRIOT RESOURCES,OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,CUDD,,SWD,SWD,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,INJECTING,INJECTING,,,VERTICAL,SINGLE BORE,BONE SPRING,,31.228294,-103.224359,31.228213,-103.224381,7500,7500,08,ROJO CABALLOS,PSL,C1,1269,,15,,,,,1SW,REPORTED,,,,,,,,,,,,,,,,,,,,,,13246,,,,,554260,,,,,,2738,ACTUAL,2712,ACTUAL,2738,2713,ACTUAL,2016-01-11,2016-01-08,2016-08-25,2016-09-05,2016-09-05,2017-02-11,2016-08-23,2018-05-03,,CROSSLINK HC,FRESH WATER,2,,227,11,170,,,3,5618,7402,1784,,1,,,1.00,SAND ONLY,311,554260,556332,312,13246,7,486,,,1300,,,3632,2091,9291,1761,,,,2950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II,Reported,,
42-389-40603,4238940603,42-389-40603-00,423894060300,42-389-40603-00-00,42389406030000,840420019811727,840421007774704,42-389-40603,NE,,,REV CON T8-50-8 A 0021WA,US,TX,REEVES,,REV CON T8-50-8 A,CHEVRON,CHEVRON U. S. A. INC.,CHEVRON,CVX,MAJOR,PUBLIC,NYSE,,,OIL,OIL,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP A LOWER,ENV INTERPRETED,DUC,DUC,,,HORIZONTAL,SINGLE BORE,WOLFCAMP,,31.155305,-103.347595,31.184369,-103.321801,10482,24789,08,WOLFBONE,T&P RR CO,50,718,,17,8S,,,,0021WA,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2805,ACTUAL,2782,ACTUAL,2810,2781,ACTUAL,2023-07-07,2023-05-31,2024-02-12,,2024-04-07,,2024-02-21,,,,,,,220,55,,,,3,,,,13747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10376,10546,-7578,-7750,172,70.00,2.54,176.07,0.098,0.077,0.19,0.72,0.32,13.33,0.054,9.3,2.71,,Reported,,
